event,timestamp
TRACKING_STOPPED_BY_USER,1467696215656
ALARM_EARLIEST,1467696600000
ALARM_LATEST,1467697800000
DEEP_START,1467584932204
TRACKING_PAUSED,1467584933759
TRACKING_RESUMED,1467585054818
REM_START,1467589405775
REM_END,1467590605775
LIGHT_START,1467590605775
DEEP_END,1467590605775
LIGHT_END,1467591202993
DEEP_START,1467591202993
LIGHT_START,1467592994647
DEEP_END,1467592994647
LIGHT_END,1467594189083
DEEP_START,1467594189083
REM_START,1467596871000
REM_END,1467598071000
LIGHT_START,1467598071000
DEEP_END,1467598071000
LIGHT_END,1467598369609
DEEP_START,1467598369609
LIGHT_START,1467600459872
DEEP_END,1467600459872
LIGHT_END,1467601057090
DEEP_START,1467601057090
LIGHT_START,1467602251526
DEEP_END,1467602251526
LIGHT_END,1467606730661
DEEP_START,1467606730661
